volcano_na,latitude,longitude,duration,BTime,ETime
Kambalny,51.306,156.875,"17",2017/03/24 00:00:00,2017/04/10 00:00:00
Ebulobo,-8.817,121.191,"0",2017/03/12 00:00:00,2017/03/12 00:00:00
Krakatau,-6.102,105.423,"0",2017/02/19 00:00:00,2017/02/19 00:00:00
San Cristobal,12.702,-87.004,"60",2017/02/18 00:00:00,2017/04/19 00:00:00
Fournaise,-21.244,55.708,"27",2017/01/31 00:00:00,2017/02/27 00:00:00
Unnamed,-20.852,-175.55,"8",2017/01/23 00:00:00,2017/01/31 00:00:00
Barren Island,12.278,93.858,"121",2017/01/15 00:00:00,2017/05/16 00:00:00
San Miguel,13.434,-88.269,"0",2017/01/07 00:00:00,2017/01/07 00:00:00
Bogoslof,53.93,-168.03,"253",2016/12/20 00:00:00,2017/08/30 00:00:00
Chirinkotan,48.98,153.48,"129",2016/11/29 00:00:00,2017/04/07 00:00:00
Nyamuragira,-1.408,29.2,"156",2016/11/27 00:00:00,2017/05/02 00:00:00
Zhupanovsky,53.589,159.15,"0",2016/11/20 00:00:00,2016/11/20 00:00:00
Kerinci,-1.697,101.264,"6",2016/11/15 00:00:00,2016/11/21 00:00:00
Sabancaya,-15.787,-71.857,"1258",2016/11/06 00:00:00,2020/04/17 00:00:00
Ebeko,50.686,156.014,"1275",2016/10/20 00:00:00,2020/04/17 00:00:00
Ulawun,-5.05,151.33,"38",2016/10/11 00:00:00,2016/11/18 00:00:00
Asosan,32.884,131.104,"36",2016/10/07 00:00:00,2016/11/12 00:00:00
Karymsky,54.049,159.443,"3",2016/10/05 00:00:00,2016/10/08 00:00:00
Lengai,-2.764,35.914,"22",2016/09/21 00:00:00,2016/10/13 00:00:00
Whakaari/White Island,-37.52,177.18,"0",2016/09/13 00:00:00,2016/09/13 00:00:00
Ubinas,-16.355,-70.903,"170",2016/09/13 00:00:00,2017/03/02 00:00:00
Fournaise,-21.244,55.708,"7",2016/09/11 00:00:00,2016/09/18 00:00:00
Gamalama,0.8,127.33,"1",2016/08/03 00:00:00,2016/08/04 00:00:00
Rinjani,-8.42,116.47,"57",2016/08/01 00:00:00,2016/09/27 00:00:00
Chikurachki,50.324,155.461,"22",2016/07/27 00:00:00,2016/08/18 00:00:00
San Miguel,13.434,-88.269,"0",2016/06/18 00:00:00,2016/06/18 00:00:00
Bulusan,12.769,124.056,"265",2016/06/10 00:00:00,2017/03/02 00:00:00
Poas,10.2,-84.233,"72",2016/06/05 00:00:00,2016/08/16 00:00:00
Fournaise,-21.244,55.708,"1",2016/05/26 00:00:00,2016/05/27 00:00:00
Whakaari/White Island,-37.52,177.18,"0",2016/04/27 00:00:00,2016/04/27 00:00:00
Bristol Island,-59.017,-26.533,"86",2016/04/24 00:00:00,2016/07/19 00:00:00
San Cristobal,12.702,-87.004,"0",2016/04/22 00:00:00,2016/04/22 00:00:00
Cleveland,52.825,-169.944,"1005",2016/04/16 00:00:00,2019/01/16 00:00:00
Langila,-5.525,148.42,"941",2016/04/02 00:00:00,2018/10/30 00:00:00
Kerinci,-1.697,101.264,"70",2016/03/31 00:00:00,2016/06/09 00:00:00
Zavodovski,-56.3,-27.57,"47",2016/03/30 00:00:00,2016/05/16 00:00:00
Chikurachki,50.324,155.461,"2",2016/03/29 00:00:00,2016/03/31 00:00:00
Pavlof,55.417,-161.894,"125",2016/03/27 00:00:00,2016/07/30 00:00:00
Sangay,-2.005,-78.341,"237",2016/03/25 00:00:00,2016/11/17 00:00:00
Bulusan,12.769,124.056,"0",2016/02/22 00:00:00,2016/02/22 00:00:00
San Miguel,13.434,-88.269,"6",2016/01/12 00:00:00,2016/01/18 00:00:00
Chillan,-36.868,-71.378,"1561",2016/01/08 00:00:00,2020/04/17 00:00:00
Soputan,1.112,124.737,"36",2016/01/02 00:00:00,2016/02/07 00:00:00
Momotombo,12.423,-86.539,"128",2015/12/01 00:00:00,2016/04/07 00:00:00
Kanlaon,10.412,123.132,"207",2015/11/24 00:00:00,2016/06/18 00:00:00
Marapi,-0.38,100.474,"0",2015/11/14 00:00:00,2015/11/14 00:00:00
Tengger Caldera,-7.942,112.95,"366",2015/11/12 00:00:00,2016/11/12 00:00:00
Lascar,-23.37,-67.73,"520",2015/10/30 00:00:00,2017/04/02 00:00:00
Rinjani,-8.42,116.47,"60",2015/10/25 00:00:00,2015/12/24 00:00:00
Masaya,11.985,-86.165,"1658",2015/10/03 00:00:00,2020/04/17 00:00:00
Alaid,50.861,155.565,"317",2015/09/29 00:00:00,2016/08/11 00:00:00
Telica,12.606,-86.84,"231",2015/09/23 00:00:00,2016/05/11 00:00:00
Copahue,-37.856,-71.183,"469",2015/09/18 00:00:00,2016/12/30 00:00:00
Lokon-Empung,1.358,124.792,"29",2015/08/30 00:00:00,2015/09/28 00:00:00
Klyuchevskoy,56.056,160.642,"1022",2015/08/28 00:00:00,2018/06/15 00:00:00
Cotopaxi,-0.677,-78.436,"163",2015/08/14 00:00:00,2016/01/24 00:00:00
San Miguel,13.434,-88.269,"0",2015/08/13 00:00:00,2015/08/13 00:00:00
Kick 'em Jenny,12.3,-61.64,"1",2015/07/23 00:00:00,2015/07/24 00:00:00
Gamalama,0.8,127.33,"54",2015/07/16 00:00:00,2015/09/08 00:00:00
Sirung,-8.508,124.13,"1",2015/07/07 00:00:00,2015/07/08 00:00:00
Hakoneyama,35.233,139.021,"2",2015/06/29 00:00:00,2015/07/01 00:00:00
Sabancaya,-15.787,-71.857,"11",2015/06/28 00:00:00,2015/07/09 00:00:00
Cereme,-6.895,108.408,"0",2015/06/24 00:00:00,2015/06/24 00:00:00
Lengai,-2.764,35.914,"65",2015/06/20 00:00:00,2015/08/24 00:00:00
Asamayama,36.406,138.523,"0",2015/06/16 00:00:00,2015/06/16 00:00:00
Rincon de la Vieja,10.83,-85.324,"320",2015/06/16 00:00:00,2016/05/01 00:00:00
Pacaya,14.382,-90.601,"1776",2015/06/07 00:00:00,2020/04/17 00:00:00
Kuchinoerabujima,30.443,130.217,"21",2015/05/29 00:00:00,2015/06/19 00:00:00
Wolf,0.02,-91.35,"8",2015/05/25 00:00:00,2015/06/02 00:00:00
Lokon-Empung,1.358,124.792,"7",2015/05/20 00:00:00,2015/05/27 00:00:00
Telica,12.606,-86.84,"21",2015/05/07 00:00:00,2015/05/28 00:00:00
Bulusan,12.769,124.056,"77",2015/05/01 00:00:00,2015/07/17 00:00:00
Axial Seamount,45.95,-130,"31",2015/04/23 00:00:00,2015/05/24 00:00:00
Calbuco,-41.33,-72.618,"34",2015/04/22 00:00:00,2015/05/26 00:00:00
Turrialba,10.025,-83.767,"1695",2015/03/08 00:00:00,2019/10/28 00:00:00
San Cristobal,12.702,-87.004,"99",2015/03/05 00:00:00,2015/06/12 00:00:00
Chikurachki,50.324,155.461,"2",2015/02/16 00:00:00,2015/02/18 00:00:00
Fournaise,-21.244,55.708,"269",2015/02/04 00:00:00,2015/10/31 00:00:00
Raung,-8.119,114.056,"202",2015/02/01 00:00:00,2015/08/22 00:00:00
San Miguel,13.434,-88.269,"75",2015/01/26 00:00:00,2015/04/11 00:00:00
Sangay,-2.005,-78.341,"78",2015/01/19 00:00:00,2015/04/07 00:00:00
Soputan,1.112,124.737,"60",2015/01/06 00:00:00,2015/03/07 00:00:00
Klyuchevskoy,56.056,160.642,"129",2015/01/01 00:00:00,2015/05/10 00:00:00
